feature	chromosome	start	end	SLX-17921.D704tp_D503tp.H5J55BBXY.s_8.r_1	SLX-16150.D710tp_D505tp.HC22VBBXY.s_3.r_1	SLX-16150.D710tp_D508tp.HC22VBBXY.s_3.r_1
1:240500001-241000000	1	240500001	241000000	1.027	0.818	0.907
1:241000001-241500000	1	241000001	241500000	0.981	0.865	0.943
1:241500001-242000000	1	241500001	242000000	1.005	0.761	1.041
1:242000001-242500000	1	242000001	242500000	0.963	0.794	0.968
1:243500001-244000000	1	243500001	244000000	1.038	0.899	1.091
1:244000001-244500000	1	244000001	244500000	1.028	0.796	0.897
1:244500001-245000000	1	244500001	245000000	1.06	0.763	0.963
1:245000001-245500000	1	245000001	245500000	0.995	0.906	0.95
1:245500001-246000000	1	245500001	246000000	0.952	0.943	1.048
1:246000001-246500000	1	246000001	246500000	1.036	0.846	1.087
1:246500001-247000000	1	246500001	247000000	0.987	0.732	0.863
1:247000001-247500000	1	247000001	247500000	0.965	0.756	0.962
1:247500001-248000000	1	247500001	248000000	1.054	0.78	0.985
2:1-500000	2	1	500000	1.018	0.997	0.895
2:1500001-2000000	2	1500001	2000000	1.035	0.946	1.036
2:2000001-2500000	2	2000001	2500000	1.11	1.01	1.015
2:2500001-3000000	2	2500001	3000000	0.981	1.079	1.008
2:3000001-3500000	2	3000001	3500000	1.078	1.015	0.976
2:3500001-4000000	2	3500001	4000000	1.058	0.943	1.014
2:4000001-4500000	2	4000001	4500000	0.9	1	0.984
2:4500001-5000000	2	4500001	5000000	1.014	0.98	0.927
2:5000001-5500000	2	5000001	5500000	0.945	1.015	0.988
2:5500001-6000000	2	5500001	6000000	1.057	1.017	1.052
2:6000001-6500000	2	6000001	6500000	1.058	1.06	1.017
2:6500001-7000000	2	6500001	7000000	0.969	1.108	0.985
2:7000001-7500000	2	7000001	7500000	1.027	0.965	1.028
2:7500001-8000000	2	7500001	8000000	1.008	1.066	1.105
2:8000001-8500000	2	8000001	8500000	0.97	1.073	1.036
2:8500001-9000000	2	8500001	9000000	0.974	0.962	1.009
2:9000001-9500000	2	9000001	9500000	0.96	0.91	0.993
2:9500001-10000000	2	9500001	10000000	1.037	0.957	1.064
2:10000001-10500000	2	10000001	10500000	1.011	0.966	1.003
2:10500001-11000000	2	10500001	11000000	0.989	1.006	0.99
2:11000001-11500000	2	11000001	11500000	0.983	0.968	0.929
2:11500001-12000000	2	11500001	12000000	1.011	1.06	1.048
2:12000001-12500000	2	12000001	12500000	0.995	1.074	0.972
2:12500001-13000000	2	12500001	13000000	1.076	1.077	1.02
2:13000001-13500000	2	13000001	13500000	1.086	1.011	0.968
2:13500001-14000000	2	13500001	14000000	0.949	0.984	1.023
2:14000001-14500000	2	14000001	14500000	0.941	1.03	1.001
2:14500001-15000000	2	14500001	15000000	0.952	1.11	1.017
2:15000001-15500000	2	15000001	15500000	1.032	1.023	0.99
2:15500001-16000000	2	15500001	16000000	0.909	1.047	0.974
