feature	chromosome	start	end	SLX-16150.D711tp_D503tp.HC22VBBXY.s_3.r_1	SLX-16150.D712tp_D504tp.HC22VBBXY.s_3.r_1	SLX-17921.D709tp_D507tp.H5J55BBXY.s_8.r_1
1:247500001-248000000	1	247500001	248000000	1.163	1.006	0.99
2:1-500000	2	1	500000	1.018	0.987	1.041
2:1500001-2000000	2	1500001	2000000	0.993	0.942	1.069
2:2000001-2500000	2	2000001	2500000	0.996	1.089	0.94
2:2500001-3000000	2	2500001	3000000	0.918	0.939	0.957
2:3000001-3500000	2	3000001	3500000	0.871	1.016	0.967
2:3500001-4000000	2	3500001	4000000	1.065	0.952	1.114
2:4000001-4500000	2	4000001	4500000	0.969	0.931	0.853
2:4500001-5000000	2	4500001	5000000	0.903	0.984	0.955
2:5000001-5500000	2	5000001	5500000	0.912	0.891	0.891
2:5500001-6000000	2	5500001	6000000	1.096	1.08	0.904
2:6000001-6500000	2	6000001	6500000	1.005	1.032	0.925
2:6500001-7000000	2	6500001	7000000	1.055	1.057	0.983
2:7000001-7500000	2	7000001	7500000	0.964	1.073	1.081
2:7500001-8000000	2	7500001	8000000	1.037	1.087	0.969
2:8000001-8500000	2	8000001	8500000	0.932	1.042	0.984
2:8500001-9000000	2	8500001	9000000	0.94	1.007	0.921
2:9000001-9500000	2	9000001	9500000	0.893	1.063	1.028
2:9500001-10000000	2	9500001	10000000	1.082	1.042	1.092
2:10000001-10500000	2	10000001	10500000	0.933	0.805	0.96
2:10500001-11000000	2	10500001	11000000	1.008	1.005	1.034
2:11000001-11500000	2	11000001	11500000	0.932	1.089	0.978
2:11500001-12000000	2	11500001	12000000	0.989	1.07	1
2:12000001-12500000	2	12000001	12500000	0.983	1.025	1.075
2:12500001-13000000	2	12500001	13000000	1.112	1.132	0.982
2:13000001-13500000	2	13000001	13500000	0.916	1.011	1.082
2:13500001-14000000	2	13500001	14000000	0.993	0.959	0.89
2:14000001-14500000	2	14000001	14500000	1.016	1.014	0.966
2:14500001-15000000	2	14500001	15000000	0.992	1.002	1.034
2:15000001-15500000	2	15000001	15500000	0.981	0.881	1.024
2:15500001-16000000	2	15500001	16000000	1.048	1.003	0.997
