feature	chromosome	start	end	SLX-16150.D712tp_D506tp.HC22VBBXY.s_3.r_1	SLX-17921.D707tp_D501tp.H5J55BBXY.s_8.r_1	SLX-17922.D708tp_D503tp.HC22GBBXY.s_6.r_1
1:242000001-242500000	1	242000001	242500000	1.115	1.038	1.049
1:243500001-244000000	1	243500001	244000000	1.213	1.169	1.077
1:244000001-244500000	1	244000001	244500000	1.081	1.011	1.012
1:244500001-245000000	1	244500001	245000000	1.168	1.199	0.955
1:245000001-245500000	1	245000001	245500000	1.142	1.09	1.175
1:245500001-246000000	1	245500001	246000000	1.227	1.178	1.069
1:246000001-246500000	1	246000001	246500000	1.07	1.039	1.076
1:246500001-247000000	1	246500001	247000000	1.014	1.062	1.073
1:247000001-247500000	1	247000001	247500000	1.163	1.066	1.098
1:247500001-248000000	1	247500001	248000000	1.122	1.095	1.126
2:1-500000	2	1	500000	1.032	1.155	1.087
2:1500001-2000000	2	1500001	2000000	1.013	1.004	0.978
2:2000001-2500000	2	2000001	2500000	1.049	0.933	1.013
2:2500001-3000000	2	2500001	3000000	0.918	1.004	1.052
2:3000001-3500000	2	3000001	3500000	1.003	1.02	1.041
2:3500001-4000000	2	3500001	4000000	1.042	1.008	1.054
2:4000001-4500000	2	4000001	4500000	0.977	1.037	0.945
2:4500001-5000000	2	4500001	5000000	1.009	0.918	1.125
2:5000001-5500000	2	5000001	5500000	0.969	0.914	0.906
2:5500001-6000000	2	5500001	6000000	1.003	0.915	1.096
2:6000001-6500000	2	6000001	6500000	0.962	0.951	0.93
2:6500001-7000000	2	6500001	7000000	0.952	0.972	0.991
2:7000001-7500000	2	7000001	7500000	0.997	0.865	1.066
2:7500001-8000000	2	7500001	8000000	1.008	0.976	0.951
2:8000001-8500000	2	8000001	8500000	0.957	0.949	1.029
2:8500001-9000000	2	8500001	9000000	0.896	0.943	0.917
2:9000001-9500000	2	9000001	9500000	1.025	0.88	0.97
2:9500001-10000000	2	9500001	10000000	1.03	0.967	1.026
2:10000001-10500000	2	10000001	10500000	0.878	0.945	0.925
2:10500001-11000000	2	10500001	11000000	1.008	1.083	0.991
2:11000001-11500000	2	11000001	11500000	1.004	1.063	0.933
2:11500001-12000000	2	11500001	12000000	1.037	1.002	1.054
2:12000001-12500000	2	12000001	12500000	1.026	0.881	1.022
2:12500001-13000000	2	12500001	13000000	1	1.062	1.017
2:13000001-13500000	2	13000001	13500000	1.045	0.987	0.9
2:13500001-14000000	2	13500001	14000000	0.879	1.076	0.926
2:14000001-14500000	2	14000001	14500000	0.994	1.007	1.009
2:14500001-15000000	2	14500001	15000000	1.026	1.017	1.064
2:15000001-15500000	2	15000001	15500000	1.032	0.944	1.104
2:15500001-16000000	2	15500001	16000000	1.026	1.063	0.951
