feature	chromosome	start	end	SLX-17922.D708tp_D506tp.HC22GBBXY.s_6.r_1	SLX-17922.D709tp_D504tp.HC22GBBXY.s_6.r_1	SLX-17922.D709tp_D506tp.HC22GBBXY.s_6.r_1	SLX-16150.D709tp_D507tp.HC22VBBXY.s_3.r_1
1:176500001-177000000	1	176500001	177000000	1.033	0.97	1.014	1.041
1:177000001-177500000	1	177000001	177500000	1.038	0.929	1.062	0.987
1:177500001-178000000	1	177500001	178000000	1.096	1.044	0.897	1.033
1:178000001-178500000	1	178000001	178500000	0.972	1.065	0.989	1.043
1:178500001-179000000	1	178500001	179000000	1.071	1.003	1.121	1.038
1:179000001-179500000	1	179000001	179500000	0.937	0.948	0.942	0.862
1:179500001-180000000	1	179500001	180000000	1.071	0.944	0.978	1.048
1:180000001-180500000	1	180000001	180500000	1.044	1.032	0.915	0.998
1:180500001-181000000	1	180500001	181000000	1.021	1.003	0.915	0.93
1:181500001-182000000	1	181500001	182000000	1.019	1.025	1.081	1.101
1:182000001-182500000	1	182000001	182500000	0.986	0.943	0.996	1.07
1:182500001-183000000	1	182500001	183000000	1.019	0.912	0.992	0.946
1:183000001-183500000	1	183000001	183500000	1.066	1.028	0.952	1.1
1:183500001-184000000	1	183500001	184000000	1.044	0.937	1.006	0.996
1:184000001-184500000	1	184000001	184500000	1.056	0.966	1.08	1.109
1:184500001-185000000	1	184500001	185000000	0.995	0.968	0.913	1.066
1:185000001-185500000	1	185000001	185500000	0.998	1.025	0.966	0.993
1:185500001-186000000	1	185500001	186000000	1.013	0.963	1.075	1.098
1:186000001-186500000	1	186000001	186500000	1.036	0.996	1.055	1.158
1:186500001-187000000	1	186500001	187000000	1.003	0.984	1.038	1.048
1:187000001-187500000	1	187000001	187500000	1.015	1.049	1.043	0.989
1:187500001-188000000	1	187500001	188000000	1.046	0.936	1.033	1.013
1:188000001-188500000	1	188000001	188500000	1.025	0.973	0.962	0.98
1:188500001-189000000	1	188500001	189000000	0.972	0.965	0.953	1.002
1:189000001-189500000	1	189000001	189500000	0.92	0.911	0.937	1.014
1:189500001-190000000	1	189500001	190000000	0.902	0.909	0.923	0.931
1:190000001-190500000	1	190000001	190500000	0.992	0.99	1.011	1.047
1:190500001-191000000	1	190500001	191000000	0.902	0.991	0.934	0.968
1:191000001-191500000	1	191000001	191500000	0.922	0.976	0.955	1.021
1:192000001-192500000	1	192000001	192500000	0.985	1.007	1.043	1.063
1:192500001-193000000	1	192500001	193000000	0.999	0.902	0.983	1.112
1:193000001-193500000	1	193000001	193500000	1.009	1.006	0.928	0.98
1:193500001-194000000	1	193500001	194000000	0.931	1.022	1.095	0.983
1:194000001-194500000	1	194000001	194500000	0.944	0.903	0.997	1.08
1:194500001-195000000	1	194500001	195000000	0.999	0.937	0.997	0.896
1:195500001-196000000	1	195500001	196000000	1.057	1.013	1.071	1.002
1:196000001-196500000	1	196000001	196500000	1.047	1.056	1.105	1.167
1:197000001-197500000	1	197000001	197500000	0.971	0.986	1.05	1.144
1:197500001-198000000	1	197500001	198000000	0.998	0.978	1.026	1.142
1:198000001-198500000	1	198000001	198500000	1.067	1.006	0.999	1.081
1:198500001-199000000	1	198500001	199000000	0.926	0.96	0.939	1.124
1:199500001-200000000	1	199500001	200000000	0.961	1.046	0.944	1.082
1:200000001-200500000	1	200000001	200500000	1.004	0.903	1.021	0.955
1:200500001-201000000	1	200500001	201000000	1.021	1.022	1.037	0.953
1:201000001-201500000	1	201000001	201500000	1.055	1.042	1.037	0.997
1:201500001-202000000	1	201500001	202000000	0.931	1.009	0.988	0.992
1:202000001-202500000	1	202000001	202500000	1.093	0.944	1.057	0.972
1:202500001-203000000	1	202500001	203000000	1.079	0.989	1.073	1.081
1:203000001-203500000	1	203000001	203500000	1.076	1.06	1.125	1.087
1:203500001-204000000	1	203500001	204000000	0.947	0.969	1.008	0.809
1:204000001-204500000	1	204000001	204500000	1.075	1.065	1.036	0.987
1:204500001-205000000	1	204500001	205000000	1.049	0.982	0.971	0.953
1:205000001-205500000	1	205000001	205500000	0.967	1.15	1.03	1.047
